Strain,Type,CBD,THC,Daytime/Nighttime,Plant Length
Liberty-Haze,hybrid,0.009019956997122979,0.2516319065551894,DT,4.326287818267005
Blueberry-Jack,hybrid,0.009004050463972582,0.23729528617747372,DT,4.434753463148189
Og-Cheese,hybrid,0.009002427076338186,0.23232577869883253,DT,4.816522434964093
Blueberry,indica,0.009992504474051837,0.2147588895744194,DT,6.9648160936350925
Kaboom,sativa,0.0005420526674199671,0.26670458065771463,DT,12.680639560533681
Savage-Citrus-Sunshine,hybrid,0.00901233696926084,0.24143320105983476,DT,4.721908509657045
Critical-47,hybrid,0.008982039401863384,0.2432662708956924,DT,4.9918541250006525
Morning-Star,hybrid,0.008996791391224657,0.25420363841261434,NT,5.9116447669526995
Chronic-Thunder,indica,0.015727825708816978,0.2141300307822832,NT,4.247105809612991
Alaskan-Ice,sativa,0.0005168186588829035,0.28499388920778584,DT,4.83232426301716
Lemon-Alien-Dawg,hybrid,0.008998910575718696,0.25362698716447957,DT,3.7869611627307873
Fat-Axl,hybrid,0.009013401852524897,0.2623631717241652,DT,3.596322766616453
Copper-Kush,indica,0.01636919376360335,0.2169000798941288,DT,3.779105744894391
Heaven-Scent,hybrid,0.009008533751781674,0.25765958244357445,NT,5.941111093000438
Jack-Diesel,sativa,0.0004736703643569933,0.23129598380959193,DT,12.127716606564169
Mother-Tongue,sativa,0.00048265105138752543,0.28744388338218746,DT,12.650922758898522
King-Louis,indica,0.010006583745847288,0.263422514361423,NT,6.359328622442041
The-Fork,sativa,0.0005610579554855931,0.2904258595635027,NT,5.974563941304231
Omega,hybrid,0.008988791146735904,0.2667448667101759,DT,5.558939935431421
La-Jack,hybrid,0.009001996237948002,0.24661432721420645,DT,5.434483039276929
Aceh,sativa,0.0003843339069590939,0.32583139328706423,DT,14.549336964011
Dolla-Sign-Og-Kush,indica,0.018322160690218067,0.24576229844258005,DT,3.976469305252496
Magic-Beans-Og,indica,0.009941793785065215,0.17118299126396938,NT,4.539585498737976
South-Asian-Sativa,sativa,0.0005945985989318571,0.36837516835842576,DT,11.631411668342023
Satori,hybrid,0.009004671948922677,0.23745585133604685,DT,4.961457623910539
Gg-5,hybrid,0.009009447194721904,0.25749455834545254,DT,4.956387323706476
Dawgs-Waltz,hybrid,0.008982497084018222,0.24265033422499177,DT,7.144018513234945
Ayahuasca-Purple,indica,0.010025187616369353,0.21395483879597546,NT,3.9054300653749365
B-Witched,hybrid,0.009014390294548712,0.2485178212412409,DT,5.029087730529514
Stardawg-91,indica,0.010020868755376002,0.2604626641143966,DT,5.102906803158461
White-Kryptonite,indica,0.011249494801096436,0.2112965355749132,DT,4.701206579529813
Pia-Collision,sativa,0.00037671956239236995,0.27703981577233666,DT,7.917308059390216
Madcow,sativa,0.00045667956214311557,0.24849758228493243,DT,14.313019264964042
Jenny-Kush,hybrid,0.008992132847922682,0.24391211829121354,DT,5.526715555753061
Asian-Fantasy,sativa,0.0005271285007855608,0.32790573572030496,DT,8.494480623877868
La-Kookies,hybrid,0.00897713444888569,0.24465026789628314,DT,3.0128750381807596
Cookie-Wreck,hybrid,0.009003666356760828,0.23784876353696485,DT,3.89627119217689
818-Og,indica,0.023509882934087133,0.24662129108802858,DT,5.038734528219546
Kobain-Kush,indica,0.010063989978396973,0.20692195916607758,DT,5.490581200408109
Lee-Roy,indica,0.010017908171140469,0.20303375538107585,DT,6.415259599322651
African,sativa,0.0005094541281114107,0.26675246444457107,DT,6.832956105222556
Venom-Og,hybrid,0.009010300293991904,0.25116194505367667,DT,5.858008433826081
Pink-Pez,hybrid,0.008986567339825979,0.24727098334625544,DT,6.2672266595094985
Melon-Gum,hybrid,0.008989473861584536,0.2309841516570353,DT,4.641667449582856
Easy-Bud,hybrid,0.009003024713616026,0.25359123654470317,DT,4.66305482531656
Sour-Apple,hybrid,0.008991239163644534,0.24090444812440343,DT,5.29283874588059
Yumboldt,indica,0.018822241466036286,0.2282184198492456,DT,4.2984169772622005
Ripped-Bubba,hybrid,0.00900628321544613,0.26601030542646975,NT,5.310618925229544
X-Tra-Chz,hybrid,0.008994241423008368,0.24116719791179927,DT,2.870753779896053
Royal-Dwarf,hybrid,0.009014299591490197,0.23644138697409567,NT,5.769393654827279
Blackberry-Pie,hybrid,0.00900390289560566,0.24031417936362984,DT,5.8394428622490855
Sour-Ape,indica,0.015267638270732478,0.24021801564068646,NT,5.105076104198856
Tangerine-Power,hybrid,0.009017149582355426,0.24532166075442985,DT,6.276050849057408
Lowryder,hybrid,0.008986856347055682,0.2608347252115912,DT,6.012806692580108
Tangelo-Kush,hybrid,0.00900385928465603,0.2636134576613484,DT,5.058357503987171
Earth-Og,hybrid,0.008997361815961807,0.24760644179545174,NT,4.70182284947181
Romulan-Haze,hybrid,0.008990332925496277,0.2582076148764852,NT,6.1494768330801275
Dougs-Varin,sativa,0.00037086583293153544,0.23705673777876413,DT,12.589541227804876
Diamond-Valley-Kush,hybrid,0.00903026436969022,0.24803180375728362,DT,6.616359999057188
Pink-Death-Star,indica,0.02103802280183623,0.19177103557000905,DT,3.7015062852306624
Purple-Panty-Dropper,indica,0.010032100857447863,0.22722098666165916,DT,4.32040174540616
The-Grunk,hybrid,0.008995745805699073,0.2338981532888138,DT,5.4806675003477805
Purple-Tonic,indica,0.010042407437928164,0.19851408586520114,DT,5.018931975501445
Bubble-Cheese,indica,0.00993550113570589,0.22187328864549818,DT,4.250962137376273
Yumboldt,indica,0.00998300749606859,0.23589493957435376,DT,4.497297779698205
Oca-Gold,indica,0.010024091098052182,0.22651818406689878,DT,4.795503971482494
Blackwater,indica,0.01691153203694963,0.23693042527378824,DT,5.296528515284828
Kali-China,indica,0.019090506084975103,0.24201439698073732,DT,5.109296012041732
Medusa,hybrid,0.00899154824783075,0.2516343246975214,DT,5.899133726586743
Shipwreck,sativa,0.0005835212603212929,0.2963500950906412,DT,13.009990101601609
Cbd-Shark,indica,0.010041710764126962,0.24309010273343928,DT,5.996651634019964
Red-Cherry-Berry,hybrid,0.009007406864359796,0.24979661156812202,NT,4.255924746811579
Purple-Tonic,indica,0.009966660786759354,0.20721141163238388,DT,5.703770475567748
La-Kookies,hybrid,0.009010674353255059,0.24446619484627324,NT,6.401524358838399
Clockwork-Orange,hybrid,0.0090035249614708,0.2482586268900586,DT,5.668076359070962
Berry-Og,hybrid,0.0089892705811892,0.2591806938995551,DT,4.755351105806357
Sour-Cherry-Sherbert,hybrid,0.009001521647899384,0.25506242780723914,DT,5.024631221971365
Cherry-Pie,hybrid,0.009014152025841484,0.24118106148122553,NT,5.2681876067090005
Pineapple-Purps,sativa,0.0006290983166846645,0.2955859288118695,DT,15.180916391291298
Lemon-Og-Haze,hybrid,0.008991051220099635,0.2508569566324968,NT,5.700122016716314
Pure-Love,indica,0.015936605470373174,0.20138946258579046,DT,3.5843458204049465
X-File,hybrid,0.009005099733190814,0.25174199148611176,DT,6.559932643358811
Mud-Bite,indica,0.010037110514384488,0.2253491149850246,DT,5.218985917677908
Jr,indica,0.009993439658577035,0.20603428941656116,DT,5.469938561423947
Blue-Dynamite,indica,0.010000348518547284,0.1912484113172996,DT,4.990088124232203
Crypt,hybrid,0.009016316408312162,0.27007945887083235,DT,6.384203688029663
Rainbow-Jones,indica,0.022008821669268576,0.22954802815027237,DT,4.321713181440964
Timewreck,sativa,0.0004376083447116246,0.3459303271878709,DT,13.154889209320823
Black-Cherry-Cheesecake,hybrid,0.009010601084586472,0.23884900618124122,DT,6.925613687716117
White-Kryptonite,indica,0.010066995171111877,0.22802104452103245,DT,6.102380937498545
Pagoda,sativa,0.0004065990732865843,0.2828333473767143,DT,10.022067262599306
Afghan-Haze,hybrid,0.00900034644610346,0.2574263457151202,NT,6.530364859662061
Locomotion,indica,0.010033182906987558,0.21123617815307477,DT,3.228373651278522
Raskal-Og,hybrid,0.008989109854811021,0.23659826184067295,NT,4.508447670299737
Ringos-Gift,hybrid,0.009009800161235159,0.24839674184763857,NT,6.197582693143728
Crown-Royale,indica,0.009957703130221223,0.20761552357787447,NT,4.810986901773458
Redwood-Kush,indica,0.009996930361200296,0.2044316656779927,DT,4.355526270263077
Bad-Azz-Kush,hybrid,0.008979710335808999,0.2487613862327568,DT,3.793287765251711
Tangerine-Kush,indica,0.01527599079297278,0.21101472412112485,DT,5.4892110068730595
Grape-Crush,hybrid,0.009000652589709574,0.2219925716644252,DT,4.335825308481283
Jacked-Up,hybrid,0.009009314306892363,0.24106364267240102,DT,4.682941072519108
Tutankhamon,sativa,0.0005213392575232623,0.25873039398705244,DT,12.687520851450513
Khola,hybrid,0.008984601702050822,0.24242769580215756,NT,5.309532838405171
Durban-Cheese,hybrid,0.009005922460371832,0.2518800506736949,DT,5.106068472710106
Tangie,sativa,0.0006595430195977672,0.2450713549431138,DT,13.688352922970417
Spyder-Mon,hybrid,0.008992221816758902,0.24994558433571382,DT,5.323774752969351
Critical-Bilbo,hybrid,0.009015405778364148,0.2581639170900015,DT,5.4228849150557235
Sour-Star-Head,sativa,0.0003977461965048551,0.2938005452373133,DT,14.153293723465321
Purple-Ak-47,hybrid,0.009019317176202015,0.25460629704049936,DT,5.086728426336083
Boysenberry,hybrid,0.008990412605003118,0.25722175612849807,DT,6.8894301986906505
Kid-N-Cookies,hybrid,0.0089919177881052,0.26340973158838066,DT,6.108625958305283
Big-Sur-Holy-Bud,sativa,0.0004236930691997016,0.3166692227093859,DT,10.599809670900541
Light-Of-Jah,sativa,0.0005285499567743861,0.19861346335650346,DT,13.01160824097232
Alaska,sativa,0.00040327477398697696,0.28859003157191165,DT,9.350473785959313
